# Gene IDs passing single isoform selection filter
# Total: 910
# Note: 6 gene IDs had multiple rows that were merged
ENSMUSG00000064345	ENSMUST00000082396	mt-Nd2	17717		NP_904329
ENSMUSG00000064351	ENSMUST00000082402	mt-Co1	17708		NP_904330
ENSMUSG00000064354	ENSMUST00000082405	mt-Co2	17709		NP_904331
ENSMUSG00000064356	ENSMUST00000082407	mt-Atp8	17706		NP_904332
ENSMUSG00000064357	ENSMUST00000082408	mt-Atp6	17705		NP_904333
ENSMUSG00000064358	ENSMUST00000082409	mt-Co3	17710		NP_904334
ENSMUSG00000064360	ENSMUST00000082411	mt-Nd3	17718		NP_904335
ENSMUSG00000065947	ENSMUST00000084013	mt-Nd4l	17720		NP_904336
ENSMUSG00000064363	ENSMUST00000082414	mt-Nd4	17719		NP_904337
ENSMUSG00000064367	ENSMUST00000082418	mt-Nd5	17721		NP_904338
ENSMUSG00000064368	ENSMUST00000082419	mt-Nd6	17722		NP_904339
ENSMUSG00000064370	ENSMUST00000082421	mt-Cytb	17711		NP_904340
ENSMUSG00000091039	ENSMUST00000169954	Krtap20-2	622935	NM_001163615	NP_001157087
ENSMUSG00000056706	ENSMUST00000056118	Krtap7-1	71363	NM_027771	NP_082047
ENSMUSG00000091212	ENSMUST00000171542	Krtap11-1	16693	NM_001113406	NP_001106877
ENSMUSG00000101928	ENSMUST00000186739	Gm20824	105247282	NM_001378622	NP_001365551
ENSMUSG00000034774	ENSMUST00000054128	Dsg1c	211924	NM_181680	NP_859008
ENSMUSG00000073257	ENSMUST00000101657	Gm10488	100042109	NM_001099325	NP_001092795
ENSMUSG00000069044	ENSMUST00000091188	Usp9y	107868	NM_148943	NP_683745
ENSMUSG00000031224	ENSMUST00000033575	Magee2	272790	NM_053206	NP_444436
ENSMUSG00000094881	ENSMUST00000163651	H2al2c	547210	NM_001177569	NP_001171040
ENSMUSG00000069036	ENSMUST00000091178	Sry	21674	NM_011564	NP_035694
ENSMUSG00000095573	ENSMUST00000168551	H2al2b	100042840	NM_001113395	NP_001106866
ENSMUSG00000073247	ENSMUST00000101647	Gm10486	100039550	NM_001109970	NP_001103440
ENSMUSG00000021367	ENSMUST00000021796	Edn1	13614	NM_010104	NP_034234
ENSMUSG00000069297	ENSMUST00000091737	Vmn1r194	626299	NM_001080972	NP_001074441
