gene_id	distance_to_other_gene
ENSG00000250719	0
ENSG00000145337	0
ENSG00000255072	0
ENSG00000196866	0
ENSG00000197674	0
ENSG00000174937	0
ENSG00000176340	0
ENSG00000204919	0
ENSG00000285723	0
ENSG00000197417	1
ENSG00000215397	2
ENSG00000198743	2
ENSG00000154620	3
ENSG00000151846	4
ENSG00000286920	7
ENSG00000286075	8
ENSG00000266826	10
ENSG00000216649	11
ENSG00000221944	16
ENSG00000281991	25
ENSG00000288634	27
ENSG00000187650	31
ENSG00000204424	38
ENSG00000242019	54
ENSG00000278677	79
ENSG00000288529	80
ENSG00000288645	80
ENSG00000288706	105
ENSG00000288716	106
ENSG00000171773	122
ENSG00000204950	153
ENSG00000288646	198
ENSG00000181323	221
ENSG00000177465	266
ENSG00000215203	317
ENSG00000288623	341
ENSG00000284188	368
ENSG00000176009	451
ENSG00000198841	460
ENSG00000274997	520
ENSG00000165389	534
ENSG00000170835	554
ENSG00000186288	561
ENSG00000288570	583
ENSG00000288712	599
ENSG00000178257	607
ENSG00000174804	620
ENSG00000187601	632
ENSG00000043591	635
ENSG00000232838	635
ENSG00000165312	649
ENSG00000268041	662
ENSG00000284356	731
ENSG00000243543	745
ENSG00000124249	777
ENSG00000184709	781
ENSG00000283268	790
ENSG00000168298	793
ENSG00000204511	848
ENSG00000184260	972
ENSG00000118245	976
ENSG00000203782	986
ENSG00000165244	993
ENSG00000174529	1025
ENSG00000108947	1031
ENSG00000177283	1044
ENSG00000291307	1052
ENSG00000178695	1076
ENSG00000280789	1087
ENSG00000196747	1098
ENSG00000070031	1103
ENSG00000154252	1127
ENSG00000273983	1127
ENSG00000124575	1170
ENSG00000179041	1171
ENSG00000275379	1188
ENSG00000275126	1188
ENSG00000269466	1206
ENSG00000187714	1215
ENSG00000140406	1219
ENSG00000288625	1219
ENSG00000285133	1221
ENSG00000170166	1247
ENSG00000124610	1255
ENSG00000184678	1283
ENSG00000184270	1283
ENSG00000180447	1306
ENSG00000183598	1320
ENSG00000257594	1339
ENSG00000196371	1365
ENSG00000174279	1367
ENSG00000274183	1383
ENSG00000288722	1383
ENSG00000277150	1385
ENSG00000277745	1385
ENSG00000277858	1386
ENSG00000288709	1386
ENSG00000287080	1395
ENSG00000187713	1455
ENSG00000186834	1462
ENSG00000179862	1499
ENSG00000168792	1509
ENSG00000286522	1519
ENSG00000278463	1519
ENSG00000203811	1542
ENSG00000288825	1542
ENSG00000203852	1547
ENSG00000182742	1597
ENSG00000185924	1649
ENSG00000138083	1657
ENSG00000189052	1674
ENSG00000104827	1687
ENSG00000116903	1706
ENSG00000120289	1715
ENSG00000204687	1720
ENSG00000197191	1734
ENSG00000284465	1765
ENSG00000169564	1766
ENSG00000180828	1779
ENSG00000170961	1789
ENSG00000183779	1842
ENSG00000086506	1905
ENSG00000263201	1906
ENSG00000178726	1941
ENSG00000285025	1941
ENSG00000260903	2030
ENSG00000054598	2033
ENSG00000286224	2132
ENSG00000177300	2150
ENSG00000185758	2150
ENSG00000163501	2171
ENSG00000198443	2225
ENSG00000175793	2229
ENSG00000177602	2275
ENSG00000162399	2279
ENSG00000213402	2283
ENSG00000274529	2340
ENSG00000232113	2355
ENSG00000283776	2372
ENSG00000250782	2372
ENSG00000288677	2374
ENSG00000127366	2402
ENSG00000283567	2408
ENSG00000177151	2418
ENSG00000276966	2454
ENSG00000186092	2470
ENSG00000181786	2474
ENSG00000284723	2619
ENSG00000181467	2627
ENSG00000174807	2627
ENSG00000186803	2636
ENSG00000277224	2640
ENSG00000189060	2643
ENSG00000197849	2675
ENSG00000198445	2675
ENSG00000125084	2779
ENSG00000184486	2781
ENSG00000270170	2797
ENSG00000187140	2814
ENSG00000212722	2842
ENSG00000221869	2844
ENSG00000230778	2845
ENSG00000112599	2869
ENSG00000121314	2882
ENSG00000121381	2882
ENSG00000284638	2916
ENSG00000271079	2945
ENSG00000198435	2945
ENSG00000284704	2950
ENSG00000271321	2966
ENSG00000221852	2987
ENSG00000204887	2987
ENSG00000185950	3006
ENSG00000181541	3062
ENSG00000130957	3088
ENSG00000182816	3107
ENSG00000183770	3117
ENSG00000204572	3117
ENSG00000176239	3184
ENSG00000184357	3187
ENSG00000228567	3209
ENSG00000173013	3230
ENSG00000237388	3233
ENSG00000288626	3259
ENSG00000181449	3260
ENSG00000196196	3290
ENSG00000179071	3332
ENSG00000215545	3377
ENSG00000284439	3434
ENSG00000284283	3434
ENSG00000284234	3434
ENSG00000284042	3434
ENSG00000283967	3434
ENSG00000283988	3434
ENSG00000135312	3456
ENSG00000272899	3474
ENSG00000173431	3477
ENSG00000129873	3488
ENSG00000182415	3488
ENSG00000187516	3493
ENSG00000229674	3493
ENSG00000120075	3505
ENSG00000288649	3577
